index,fieldId,fieldName,sheet,targetColumn,sourceQuestion,transformationType,validation,businessRule,normalization,fallback,edgeCases
"98","MSPAS_CT","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | MS","BAse completa","CT","UISAU","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"99","MSPAS_CU","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | S","BAse completa","CU","UISAU","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"100","MSPAS_CV","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | N","BAse completa","CV","UISAU","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"101","MSPAS_CW","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | I","BAse completa","CW","UISAU","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"102","MSPAS_CX","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | MI","BAse completa","CX","UISAU","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"103","MSPAS_CY","COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | MS","BAse completa","CY","Claridad de información sobre estado de salud","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"104","MSPAS_CZ","COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | S","BAse completa","CZ","Claridad de información sobre estado de salud","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"105","MSPAS_DA","COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | N","BAse completa","DA","Claridad de información sobre estado de salud","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"106","MSPAS_DB","COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | I","BAse completa","DB","Claridad de información sobre estado de salud","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"107","MSPAS_DC","COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | MI","BAse completa","DC","Claridad de información sobre estado de salud","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"108","MSPAS_DD","COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | MS","BAse completa","DD","Idioma en que se brindo la información","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"109","MSPAS_DE","COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | S","BAse completa","DE","Idioma en que se brindo la información","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"110","MSPAS_DF","COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | N","BAse completa","DF","Idioma en que se brindo la información","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"111","MSPAS_DG","COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | I","BAse completa","DG","Idioma en que se brindo la información","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"112","MSPAS_DH","COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | MI","BAse completa","DH","Idioma en que se brindo la información","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"113","MSPAS_DI","COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | MS","BAse completa","DI","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"114","MSPAS_DJ","COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | S","BAse completa","DJ","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"115","MSPAS_DK","COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | N","BAse completa","DK","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"116","MSPAS_DL","COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | I","BAse completa","DL","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"117","MSPAS_DM","COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | MI","BAse completa","DM","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"118","MSPAS_DN","TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | MS","BAse completa","DN","Tiempo de espera hasta recibir la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"119","MSPAS_DO","TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | S","BAse completa","DO","Tiempo de espera hasta recibir la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"120","MSPAS_DP","TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | N","BAse completa","DP","Tiempo de espera hasta recibir la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"121","MSPAS_DQ","TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | I","BAse completa","DQ","Tiempo de espera hasta recibir la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"122","MSPAS_DR","TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | MI","BAse completa","DR","Tiempo de espera hasta recibir la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"123","MSPAS_DS","TIEMPO Y CONDICIONES | Comodidad en sala de espera | MS","BAse completa","DS","Comodidad en sala de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"124","MSPAS_DT","TIEMPO Y CONDICIONES | Comodidad en sala de espera | S","BAse completa","DT","Comodidad en sala de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"125","MSPAS_DU","TIEMPO Y CONDICIONES | Comodidad en sala de espera | N","BAse completa","DU","Comodidad en sala de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"126","MSPAS_DV","TIEMPO Y CONDICIONES | Comodidad en sala de espera | I","BAse completa","DV","Comodidad en sala de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"127","MSPAS_DW","TIEMPO Y CONDICIONES | Comodidad en sala de espera | MI","BAse completa","DW","Comodidad en sala de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"128","MSPAS_DX","TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | MS","BAse completa","DX","Limpieza del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"129","MSPAS_DY","TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | S","BAse completa","DY","Limpieza del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"130","MSPAS_DZ","TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | N","BAse completa","DZ","Limpieza del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"131","MSPAS_EA","TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | I","BAse completa","EA","Limpieza del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"132","MSPAS_EB","TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | MI","BAse completa","EB","Limpieza del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"133","MSPAS_EC","TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | MS","BAse completa","EC","Limpieza en los servicios sanitarios","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"134","MSPAS_ED","TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | S","BAse completa","ED","Limpieza en los servicios sanitarios","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"135","MSPAS_EE","TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | N","BAse completa","EE","Limpieza en los servicios sanitarios","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"136","MSPAS_EF","TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | I","BAse completa","EF","Limpieza en los servicios sanitarios","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"137","MSPAS_EG","TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | MI","BAse completa","EG","Limpieza en los servicios sanitarios","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"138","MSPAS_EH","TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | MS","BAse completa","EH","Ventilación e iluminación del área de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"139","MSPAS_EI","TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | S","BAse completa","EI","Ventilación e iluminación del área de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"140","MSPAS_EJ","TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | N","BAse completa","EJ","Ventilación e iluminación del área de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"141","MSPAS_EK","TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | I","BAse completa","EK","Ventilación e iluminación del área de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"142","MSPAS_EL","TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | MI","BAse completa","EL","Ventilación e iluminación del área de espera","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"143","MSPAS_EM","TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | MS","BAse completa","EM","Ventilación e iluminación del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"144","MSPAS_EN","TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | S","BAse completa","EN","Ventilación e iluminación del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"145","MSPAS_EO","TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | N","BAse completa","EO","Ventilación e iluminación del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"146","MSPAS_EP","TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | I","BAse completa","EP","Ventilación e iluminación del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"147","MSPAS_EQ","TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | MI","BAse completa","EQ","Ventilación e iluminación del área donde fue atendido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"148","MSPAS_ER","TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | MS","BAse completa","ER","Privacidad y seguridad durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"149","MSPAS_ES","TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | S","BAse completa","ES","Privacidad y seguridad durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"150","MSPAS_ET","TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | N","BAse completa","ET","Privacidad y seguridad durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"151","MSPAS_EU","TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | I","BAse completa","EU","Privacidad y seguridad durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"152","MSPAS_EV","TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | MI","BAse completa","EV","Privacidad y seguridad durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"153","MSPAS_EW","ENCAMAMIENTO | Estado y limpieza de la ropa de cama | MS","BAse completa","EW","Estado y limpieza de la ropa de cama","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"154","MSPAS_EX","ENCAMAMIENTO | Estado y limpieza de la ropa de cama | S","BAse completa","EX","Estado y limpieza de la ropa de cama","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"155","MSPAS_EY","ENCAMAMIENTO | Estado y limpieza de la ropa de cama | N","BAse completa","EY","Estado y limpieza de la ropa de cama","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"156","MSPAS_EZ","ENCAMAMIENTO | Estado y limpieza de la ropa de cama | I","BAse completa","EZ","Estado y limpieza de la ropa de cama","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"157","MSPAS_FA","ENCAMAMIENTO | Estado y limpieza de la ropa de cama | MI","BAse completa","FA","Estado y limpieza de la ropa de cama","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"158","MSPAS_FB","ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | MS","BAse completa","FB","Calidad y tiempo oportuno de los alimentos","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"159","MSPAS_FC","ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | S","BAse completa","FC","Calidad y tiempo oportuno de los alimentos","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"160","MSPAS_FD","ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | N","BAse completa","FD","Calidad y tiempo oportuno de los alimentos","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"161","MSPAS_FE","ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | I","BAse completa","FE","Calidad y tiempo oportuno de los alimentos","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"162","MSPAS_FF","ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | MI","BAse completa","FF","Calidad y tiempo oportuno de los alimentos","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"163","MSPAS_FG","SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | MS","BAse completa","FG","Nivel de satisfacción con el servicio recibido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"164","MSPAS_FH","SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | S","BAse completa","FH","Nivel de satisfacción con el servicio recibido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"165","MSPAS_FI","SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | N","BAse completa","FI","Nivel de satisfacción con el servicio recibido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"166","MSPAS_FJ","SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | I","BAse completa","FJ","Nivel de satisfacción con el servicio recibido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"167","MSPAS_FK","SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | MI","BAse completa","FK","Nivel de satisfacción con el servicio recibido","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"168","MSPAS_FL","Referiria el servicio | Referiria el servicio","BAse completa","FL","Referiria el servicio","yes_no_neutral_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"169","MSPAS_FM","Referiria el servicio | Referiria el servicio","BAse completa","FM","Referiria el servicio","yes_no_neutral_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"170","MSPAS_FN","Referiria el servicio | Referiria el servicio","BAse completa","FN","Referiria el servicio","yes_no_neutral_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
