fieldId,targetColumn,excelColumn,preguntaOrigen,fuenteDatos,transformationType,estadoCobertura,puedeLlenarseHoy,requiereTransformacion,requiereModificarFormulario,requiereModificarBD,requiereModificarPreguntas,requiereNuevaReglaNegocio,debePermanecerVacio,imposibleActualmente,cambiosRequeridos,riesgos,prioridad
"MSPAS_CB","CB","CB - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | N","Nutrición","Nutrición","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CC","CC","CC - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | I","Nutrición","Nutrición","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CD","CD","CD - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | MI","Nutrición","Nutrición","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CE","CE","CE - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | MS","Trabajo Social","Trabajo Social","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CF","CF","CF - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | S","Trabajo Social","Trabajo Social","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CG","CG","CG - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | N","Trabajo Social","Trabajo Social","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CH","CH","CH - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | I","Trabajo Social","Trabajo Social","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CI","CI","CI - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | MI","Trabajo Social","Trabajo Social","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CJ","CJ","CJ - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | MS","Laboratorio Clínico","Laboratorio Clínico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CK","CK","CK - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | S","Laboratorio Clínico","Laboratorio Clínico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CL","CL","CL - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | N","Laboratorio Clínico","Laboratorio Clínico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CM","CM","CM - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | I","Laboratorio Clínico","Laboratorio Clínico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CN","CN","CN - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | MI","Laboratorio Clínico","Laboratorio Clínico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CO","CO","CO - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | MS","Imágenes Diagnosticas (rayos x, ultrasonido)","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CP","CP","CP - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | S","Imágenes Diagnosticas (rayos x, ultrasonido)","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CQ","CQ","CQ - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | N","Imágenes Diagnosticas (rayos x, ultrasonido)","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CR","CR","CR - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | I","Imágenes Diagnosticas (rayos x, ultrasonido)","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CS","CS","CS - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | MI","Imágenes Diagnosticas (rayos x, ultrasonido)","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CT","CT","CT - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | MS","UISAU","UISAU","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CU","CU","CU - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | S","UISAU","UISAU","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CV","CV","CV - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | N","UISAU","UISAU","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CW","CW","CW - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | I","UISAU","UISAU","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CX","CX","CX - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | UISAU | MI","UISAU","UISAU","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CY","CY","CY - COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | MS","Claridad de información sobre estado de salud","Claridad de información sobre estado de salud","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_CZ","CZ","CZ - COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | S","Claridad de información sobre estado de salud","Claridad de información sobre estado de salud","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DA","DA","DA - COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | N","Claridad de información sobre estado de salud","Claridad de información sobre estado de salud","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DB","DB","DB - COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | I","Claridad de información sobre estado de salud","Claridad de información sobre estado de salud","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DC","DC","DC - COMUNICACIÓN E INFORMACIÓN | Claridad de información sobre estado de salud | MI","Claridad de información sobre estado de salud","Claridad de información sobre estado de salud","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DD","DD","DD - COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | MS","Idioma en que se brindo la información","Idioma en que se brindo la información","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DE","DE","DE - COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | S","Idioma en que se brindo la información","Idioma en que se brindo la información","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DF","DF","DF - COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | N","Idioma en que se brindo la información","Idioma en que se brindo la información","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DG","DG","DG - COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | I","Idioma en que se brindo la información","Idioma en que se brindo la información","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DH","DH","DH - COMUNICACIÓN E INFORMACIÓN | Idioma en que se brindo la información | MI","Idioma en que se brindo la información","Idioma en que se brindo la información","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DI","DI","DI - COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | MS","Explicación clara y comprensible del diagnostico y tratamiento","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DJ","DJ","DJ - COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | S","Explicación clara y comprensible del diagnostico y tratamiento","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DK","DK","DK - COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | N","Explicación clara y comprensible del diagnostico y tratamiento","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DL","DL","DL - COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | I","Explicación clara y comprensible del diagnostico y tratamiento","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DM","DM","DM - COMUNICACIÓN E INFORMACIÓN | Explicación clara y comprensible del diagnostico y tratamiento | MI","Explicación clara y comprensible del diagnostico y tratamiento","Explicación clara y comprensible del diagnostico y tratamiento","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DN","DN","DN - TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | MS","Tiempo de espera hasta recibir la atención","Tiempo de espera hasta recibir la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DO","DO","DO - TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | S","Tiempo de espera hasta recibir la atención","Tiempo de espera hasta recibir la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DP","DP","DP - TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | N","Tiempo de espera hasta recibir la atención","Tiempo de espera hasta recibir la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DQ","DQ","DQ - TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | I","Tiempo de espera hasta recibir la atención","Tiempo de espera hasta recibir la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DR","DR","DR - TIEMPO Y CONDICIONES | Tiempo de espera hasta recibir la atención | MI","Tiempo de espera hasta recibir la atención","Tiempo de espera hasta recibir la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DS","DS","DS - TIEMPO Y CONDICIONES | Comodidad en sala de espera | MS","Comodidad en sala de espera","Comodidad en sala de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DT","DT","DT - TIEMPO Y CONDICIONES | Comodidad en sala de espera | S","Comodidad en sala de espera","Comodidad en sala de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DU","DU","DU - TIEMPO Y CONDICIONES | Comodidad en sala de espera | N","Comodidad en sala de espera","Comodidad en sala de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DV","DV","DV - TIEMPO Y CONDICIONES | Comodidad en sala de espera | I","Comodidad en sala de espera","Comodidad en sala de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DW","DW","DW - TIEMPO Y CONDICIONES | Comodidad en sala de espera | MI","Comodidad en sala de espera","Comodidad en sala de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DX","DX","DX - TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | MS","Limpieza del área donde fue atendido","Limpieza del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DY","DY","DY - TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | S","Limpieza del área donde fue atendido","Limpieza del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_DZ","DZ","DZ - TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | N","Limpieza del área donde fue atendido","Limpieza del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EA","EA","EA - TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | I","Limpieza del área donde fue atendido","Limpieza del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EB","EB","EB - TIEMPO Y CONDICIONES | Limpieza del área donde fue atendido | MI","Limpieza del área donde fue atendido","Limpieza del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EC","EC","EC - TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | MS","Limpieza en los servicios sanitarios","Limpieza en los servicios sanitarios","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_ED","ED","ED - TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | S","Limpieza en los servicios sanitarios","Limpieza en los servicios sanitarios","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EE","EE","EE - TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | N","Limpieza en los servicios sanitarios","Limpieza en los servicios sanitarios","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EF","EF","EF - TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | I","Limpieza en los servicios sanitarios","Limpieza en los servicios sanitarios","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EG","EG","EG - TIEMPO Y CONDICIONES | Limpieza en los servicios sanitarios | MI","Limpieza en los servicios sanitarios","Limpieza en los servicios sanitarios","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EH","EH","EH - TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | MS","Ventilación e iluminación del área de espera","Ventilación e iluminación del área de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EI","EI","EI - TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | S","Ventilación e iluminación del área de espera","Ventilación e iluminación del área de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EJ","EJ","EJ - TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | N","Ventilación e iluminación del área de espera","Ventilación e iluminación del área de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EK","EK","EK - TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | I","Ventilación e iluminación del área de espera","Ventilación e iluminación del área de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EL","EL","EL - TIEMPO Y CONDICIONES | Ventilación e iluminación del área de espera | MI","Ventilación e iluminación del área de espera","Ventilación e iluminación del área de espera","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EM","EM","EM - TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | MS","Ventilación e iluminación del área donde fue atendido","Ventilación e iluminación del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EN","EN","EN - TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | S","Ventilación e iluminación del área donde fue atendido","Ventilación e iluminación del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EO","EO","EO - TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | N","Ventilación e iluminación del área donde fue atendido","Ventilación e iluminación del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EP","EP","EP - TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | I","Ventilación e iluminación del área donde fue atendido","Ventilación e iluminación del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EQ","EQ","EQ - TIEMPO Y CONDICIONES | Ventilación e iluminación del área donde fue atendido | MI","Ventilación e iluminación del área donde fue atendido","Ventilación e iluminación del área donde fue atendido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_ER","ER","ER - TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | MS","Privacidad y seguridad durante la atención","Privacidad y seguridad durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
